Table Name,State Code,District Code,Tehsil Code,Area Name,Total/ Rural/ Urban,Age-group,Total - Persons,Total - Males,Total - Females,Religious communities - Hindu - Persons,Religious communities - Hindu - Males,Religious communities - Hindu - Females,Religious communities - Muslim - Persons,Religious communities - Muslim - Males,Religious communities - Muslim - Females,Religious communities - Christian - Persons,Religious communities - Christian - Males,Religious communities - Christian - Females,Religious communities - Sikh - Persons,Religious communities - Sikh - Males,Religious communities - Sikh - Females,Religious communities - Buddhist - Persons,Religious communities - Buddhist - Males,Religious communities - Buddhist - Females,Religious communities - Jain - Persons,Religious communities - Jain - Males,Religious communities - Jain - Females,Religious communities - Other religious communities - Persons,Religious communities - Other religious communities - Males,Religious communities - Other religious communities - Females
C4415,33,08,0000,District - Salem  08,Total,0-4,243789,131674,112115,233004,126089,106915,6684,3434,3250,3778,1950,1828,38,23,15,17,8,9,75,48,27,22,10,12
C4415,33,08,0000,District - Salem  08,Total,5-9,276884,148955,127929,265091,142958,122133,7232,3656,3576,4154,2111,2043,48,25,23,17,9,8,87,43,44,24,12,12
C4415,33,08,0000,District - Salem  08,Total,10-14,286275,156660,129615,273277,149866,123411,7832,4009,3823,4746,2565,2181,41,23,18,18,11,7,93,46,47,22,13,9
C4415,33,08,0000,District - Salem  08,Total,15-19,283892,153905,129987,270057,146975,123082,8468,4218,4250,4933,2463,2470,49,33,16,24,21,3,102,53,49,30,18,12
C4415,33,08,0000,District - Salem  08,Total,20-24,269879,137565,132314,256490,131051,125439,8080,3941,4139,4874,2327,2547,63,39,24,14,10,4,107,56,51,31,18,13
C4415,33,08,0000,District - Salem  08,Total,25-29,278137,134265,143872,265314,128209,137105,7668,3694,3974,4756,2159,2597,53,34,19,18,9,9,111,54,57,22,12,10
C4415,33,08,0000,District - Salem  08,Total,30-34,229357,115503,113854,218923,110230,108693,5966,3069,2897,4145,2025,2120,37,25,12,26,14,12,94,55,39,14,6,8
C4415,33,08,0000,District - Salem  08,Total,35-39,250727,123164,127563,239968,117885,122083,6287,3150,3137,4146,1960,2186,45,26,19,8,4,4,84,45,39,19,7,12
C4415,33,08,0000,District - Salem  08,Total,40-44,192459,103360,89099,184400,99111,85289,4537,2458,2079,3265,1650,1615,30,22,8,12,8,4,69,33,36,19,12,7
C4415,33,08,0000,District - Salem  08,Total,45-49,176524,91120,85404,169163,87192,81971,4097,2243,1854,3034,1565,1469,35,19,16,12,3,9,61,34,27,12,9,3
C4415,33,08,0000,District - Salem  08,Total,50-54,138301,72298,66003,132802,69337,63465,3043,1680,1363,2273,1184,1089,22,15,7,10,6,4,41,27,14,8,7,1
C4415,33,08,0000,District - Salem  08,Total,55-59,107443,52934,54509,103165,50760,52405,2302,1168,1134,1827,916,911,24,17,7,8,6,2,33,17,16,1,0,1
C4415,33,08,0000,District - Salem  08,Total,60-64,101822,51251,50571,98118,49417,48701,1993,984,1009,1583,781,802,17,12,5,7,5,2,24,11,13,7,2,5
C4415,33,08,0000,District - Salem  08,Total,65-69,63209,30500,32709,60856,29380,31476,1248,619,629,1031,465,566,12,5,7,4,3,1,23,12,11,2,0,2
C4415,33,08,0000,District - Salem  08,Total,70-74,51994,26523,25471,50253,25685,24568,910,426,484,768,381,387,7,3,4,3,1,2,18,9,9,7,4,3
C4415,33,08,0000,District - Salem  08,Total,75-79,22736,12112,10624,21900,11684,10216,403,210,193,403,205,198,3,1,2,2,0,2,6,3,3,5,2,3
C4415,33,08,0000,District - Salem  08,Total,80+,29032,14451,14581,28030,13983,14047,517,240,277,447,209,238,5,4,1,4,3,1,5,1,4,3,1,2
C4415,33,08,0000,District - Salem  08,Total,Age not stated,13886,7393,6493,13098,6964,6134,381,210,171,287,154,133,6,5,1,4,2,2,10,4,6,0,0,0
C4415,33,08,0000,District - Salem  08,Rural,All ages,1626162,852453,773709,1597113,837680,759433,9757,5011,4746,17776,8897,8879,194,129,65,79,51,28,41,20,21,70,38,32
C4415,33,08,0000,District - Salem  08,Rural,0-4,136130,75025,61105,133694,73783,59911,881,456,425,1430,704,726,14,9,5,5,4,1,5,4,1,5,1,4
C4415,33,08,0000,District - Salem  08,Rural,5-9,153932,84632,69300,151229,83229,68000,908,451,457,1633,849,784,20,9,11,3,2,1,3,3,0,7,5,2
C4415,33,08,0000,District - Salem  08,Rural,10-14,157171,88314,68857,154178,86644,67534,1072,589,483,1772,999,773,20,12,8,10,8,2,4,2,2,8,4,4
C4415,33,08,0000,District - Salem  08,Rural,15-19,151480,84312,67168,148464,82702,65762,1053,583,470,1818,943,875,18,13,5,11,9,2,3,1,2,9,5,4
C4415,33,08,0000,District - Salem  08,Rural,20-24,141051,73492,67559,138268,72133,66135,1022,523,499,1642,756,886,15,11,4,4,3,1,0,0,0,8,4,4
C4415,33,08,0000,District - Salem  08,Rural,25-29,146697,71116,75581,144050,69888,74162,888,406,482,1619,747,872,17,13,4,8,4,4,11,3,8,9,6,3
C4415,33,08,0000,District - Salem  08,Rural,30-34,118863,59536,59327,116673,58493,58180,703,337,366,1395,659,736,10,7,3,9,5,4,5,3,2,2,0,2
C4415,33,08,0000,District - Salem  08,Rural,35-39,134110,65327,68783,131748,64191,67557,814,394,420,1438,693,745,15,7,8,3,0,3,4,1,3,8,3,5
C4415,33,08,0000,District - Salem  08,Rural,40-44,101828,54648,47180,100071,53723,46348,548,302,246,1125,573,552,13,11,2,5,3,2,2,1,1,4,2,2
C4415,33,08,0000,District - Salem  08,Rural,45-49,94620,48145,46475,93059,47309,45750,516,300,216,966,499,467,14,8,6,6,1,5,1,1,0,2,2,0
C4415,33,08,0000,District - Salem  08,Rural,50-54,74250,38421,35829,73125,37837,35288,349,181,168,712,371,341,5,4,1,4,4,0,0,0,0,3,3,0
C4415,33,08,0000,District - Salem  08,Rural,55-59,58692,28876,29816,57721,28387,29334,306,150,156,602,298,304,15,12,3,1,1,0,1,0,1,1,0,1
C4415,33,08,0000,District - Salem  08,Rural,60-64,57295,29075,28220,56425,28653,27772,265,120,145,560,276,284,5,4,1,3,2,1,1,0,1,1,1,0
C4415,33,08,0000,District - Salem  08,Rural,65-69,34887,16913,17974,34382,16677,17705,143,74,69,337,149,188,5,3,2,2,2,0,0,0,0,0,0,0
C4415,33,08,0000,District - Salem  08,Rural,70-74,29996,15651,14345,29567,15431,14136,135,71,64,278,138,140,2,2,0,0,0,0,1,1,0,1,1,0
C4415,33,08,0000,District - Salem  08,Rural,75-79,12432,6816,5616,12221,6708,5513,47,25,22,155,80,75,1,0,1,1,0,1,0,0,0,0,0,0
C4415,33,08,0000,District - Salem  08,Rural,80+,16325,8574,7751,16065,8446,7619,70,29,41,173,89,84,1,1,0,2,2,0,0,0,0,2,1,1
C4415,33,08,0000,District - Salem  08,Rural,Age not stated,6403,3580,2823,6173,3446,2727,37,20,17,121,74,47,4,3,1,2,1,1,0,0,0,0,0,0
C4415,33,08,0000,District - Salem  08,Urban,All ages,1390184,711180,679004,1286796,659096,627700,67891,34398,33493,32674,16173,16501,341,202,139,129,72,57,1002,531,471,178,95,83
C4415,33,08,0000,District - Salem  08,Urban,0-4,107659,56649,51010,99310,52306,47004,5803,2978,2825,2348,1246,1102,24,14,10,12,4,8,70,44,26,17,9,8
C4415,33,08,0000,District - Salem  08,Urban,5-9,122952,64323,58629,113862,59729,54133,6324,3205,3119,2521,1262,1259,28,16,12,14,7,7,84,40,44,17,7,10
C4415,33,08,0000,District - Salem  08,Urban,10-14,129104,68346,60758,119099,63222,55877,6760,3420,3340,2974,1566,1408,21,11,10,8,3,5,89,44,45,14,9,5
C4415,33,08,0000,District - Salem  08,Urban,15-19,132412,69593,62819,121593,64273,57320,7415,3635,3780,3115,1520,1595,31,20,11,13,12,1,99,52,47,21,13,8
C4415,33,08,0000,District - Salem  08,Urban,20-24,128828,64073,64755,118222,58918,59304,7058,3418,3640,3232,1571,1661,48,28,20,10,7,3,107,56,51,23,14,9
C4415,33,08,0000,District - Salem  08,Urban,25-29,131440,63149,68291,121264,58321,62943,6780,3288,3492,3137,1412,1725,36,21,15,10,5,5,100,51,49,13,6,7
C4415,33,08,0000,District - Salem  08,Urban,30-34,110494,55967,54527,102250,51737,50513,5263,2732,2531,2750,1366,1384,27,18,9,17,9,8,89,52,37,12,6,6
C4415,33,08,0000,District - Salem  08,Urban,35-39,116617,57837,58780,108220,53694,54526,5473,2756,2717,2708,1267,1441,30,19,11,5,4,1,80,44,36,11,4,7
C4415,33,08,0000,District - Salem  08,Urban,40-44,90631,48712,41919,84329,45388,38941,3989,2156,1833,2140,1077,1063,17,11,6,7,5,2,67,32,35,15,10,5
C4415,33,08,0000,District - Salem  08,Urban,45-49,81904,42975,38929,76104,39883,36221,3581,1943,1638,2068,1066,1002,21,11,10,6,2,4,60,33,27,10,7,3
C4415,33,08,0000,District - Salem  08,Urban,50-54,64051,33877,30174,59677,31500,28177,2694,1499,1195,1561,813,748,17,11,6,6,2,4,41,27,14,5,4,1
C4415,33,08,0000,District - Salem  08,Urban,55-59,48751,24058,24693,45444,22373,23071,1996,1018,978,1225,618,607,9,5,4,7,5,2,32,17,15,0,0,0
C4415,33,08,0000,District - Salem  08,Urban,60-64,44527,22176,22351,41693,20764,20929,1728,864,864,1023,505,518,12,8,4,4,3,1,23,11,12,6,1,5
C4415,33,08,0000,District - Salem  08,Urban,65-69,28322,13587,14735,26474,12703,13771,1105,545,560,694,316,378,7,2,5,2,1,1,23,12,11,2,0,2
C4415,33,08,0000,District - Salem  08,Urban,70-74,21998,10872,11126,20686,10254,10432,775,355,420,490,243,247,5,1,4,3,1,2,17,8,9,6,3,3
C4415,33,08,0000,District - Salem  08,Urban,75-79,10304,5296,5008,9679,4976,4703,356,185,171,248,125,123,2,1,1,1,0,1,6,3,3,5,2,3
C4415,33,08,0000,District - Salem  08,Urban,80+,12707,5877,6830,11965,5537,6428,447,211,236,274,120,154,4,3,1,2,1,1,5,1,4,1,0,1
C4415,33,08,0000,District - Salem  08,Urban,Age not stated,7483,3813,3670,6925,3518,3407,344,190,154,166,80,86,2,2,0,2,1,1,10,4,6,0,0,0
C4415,33,09,0000,District - Namakkal   *  09,Total,All ages,1493462,759551,733911,1451966,738907,713059,26907,13429,13478,13137,6411,6726,117,71,46,40,29,11,80,43,37,124,72,52
C4415,33,09,0000,District - Namakkal   *  09,Total,0-4,105782,55947,49835,102362,54154,48208,2362,1243,1119,973,501,472,6,4,2,4,2,2,2,1,1,4,3,1
C4415,33,09,0000,District - Namakkal   *  09,Total,5-9,119620,63010,56610,115982,61146,54836,2562,1287,1275,974,513,461,10,3,7,0,0,0,9,6,3,10,7,3
C4415,33,09,0000,District - Namakkal   *  09,Total,10-14,124861,66469,58392,121206,64610,56596,2497,1270,1227,1057,532,525,5,3,2,1,1,0,6,4,2,10,5,5
C4415,33,09,0000,District - Namakkal   *  09,Total,15-19,134482,71366,63116,129826,69066,60760,2825,1423,1402,1690,798,892,13,8,5,4,3,1,8,2,6,9,5,4
C4415,33,09,0000,District - Namakkal   *  09,Total,20-24,131114,65741,65373,126542,63687,62855,2740,1275,1465,1707,713,994,14,8,6,4,1,3,9,3,6,11,7,4
C4415,33,09,0000,District - Namakkal   *  09,Total,25-29,132718,63837,68881,128815,61982,66833,2602,1221,1381,1183,561,622,12,10,2,3,3,0,8,6,2,8,5,3
C4415,33,09,0000,District - Namakkal   *  09,Total,30-34,113175,56982,56193,109928,55379,54549,2133,1047,1086,1024,516,508,8,5,3,0,0,0,6,3,3,11,6,5
C4415,33,09,0000,District - Namakkal   *  09,Total,35-39,123040,59381,63659,119765,57778,61987,2164,1066,1098,1006,483,523,10,5,5,3,1,2,5,5,0,9,6,3
C4415,33,09,0000,District - Namakkal   *  09,Total,40-44,98702,51500,47202,96221,50227,45994,1618,834,784,769,394,375,8,6,2,4,4,0,4,2,2,12,4,8
C4415,33,09,0000,District - Namakkal   *  09,Total,45-49,96096,48414,47682,93828,47213,46615,1456,776,680,730,368,362,10,8,2,1,1,0,7,4,3,7,5,2
C4415,33,09,0000,District - Namakkal   *  09,Total,50-54,76545,39125,37420,74861,38233,36628,1079,572,507,543,288,255,1,1,0,1,1,0,2,0,2,9,6,3
C4415,33,09,0000,District - Namakkal   *  09,Total,55-59,62605,30577,32028,61299,29922,31377,816,410,406,435,219,216,4,4,0,4,4,0,4,3,1,6,1,5
C4415,33,09,0000,District - Namakkal   *  09,Total,60-64,57951,29086,28865,56821,28502,28319,709,366,343,352,184,168,4,3,1,4,4,0,2,0,2,7,3,4
C4415,33,09,0000,District - Namakkal   *  09,Total,65-69,37072,17624,19448,36370,17292,19078,434,203,231,224,104,120,5,1,4,1,1,0,4,1,3,2,2,0
C4415,33,09,0000,District - Namakkal   *  09,Total,70-74,29724,14841,14883,29188,14592,14596,338,150,188,165,78,87,1,0,1,2,1,1,1,1,0,3,3,0
C4415,33,09,0000,District - Namakkal   *  09,Total,75-79,14073,7330,6743,13840,7191,6649,126,73,53,91,58,33,1,0,1,0,0,0,1,0,1,3,2,1
C4415,33,09,0000,District - Namakkal   *  09,Total,80+,16125,8126,7999,15867,8010,7857,149,62,87,94,47,47,0,0,0,1,1,0,0,0,0,2,1,1
C4415,33,09,0000,District - Namakkal   *  09,Total,Age not stated,19777,10195,9582,19245,9923,9322,297,151,146,120,54,66,5,2,3,3,1,2,2,2,0,1,1,0
C4415,33,09,0000,District - Namakkal   *  09,Rural,All ages,948230,482365,465865,931737,474193,457544,8097,4026,4071,7373,3582,3791,74,44,30,31,24,7,45,23,22,40,25,15
C4415,33,09,0000,District - Namakkal   *  09,Rural,0-4,67076,35739,31337,65748,35034,30714,712,376,336,556,292,264,3,3,0,2,1,1,1,0,1,2,2,0
C4415,33,09,0000,District - Namakkal   *  09,Rural,5-9,74607,39636,34971,73272,38946,34326,747,371,376,526,282,244,5,0,5,0,0,0,4,3,1,5,4,1
C4415,33,09,0000,District - Namakkal   *  09,Rural,10-14,78069,41852,36217,76717,41158,35559,746,366,380,538,290,248,3,2,1,0,0,0,2,1,1,1,1,0
C4415,33,09,0000,District - Namakkal   *  09,Rural,15-19,83934,44746,39188,82028,43818,38210,825,438,387,978,433,545,8,6,2,2,1,1,5,2,3,2,1,1
C4415,33,09,0000,District - Namakkal   *  09,Rural,20-24,81967,41323,40644,79944,40432,39512,855,400,455,1082,447,635,8,4,4,3,1,2,5,1,4,6,4,2
C4415,33,09,0000,District - Namakkal   *  09,Rural,25-29,82842,40108,42734,81338,39376,41962,758,356,402,665,325,340,4,3,1,3,3,0,4,2,2,3,0,3
C4415,33,09,0000,District - Namakkal   *  09,Rural,30-34,69781,35146,34635,68543,34545,33998,624,298,326,556,282,274,4,2,2,0,0,0,2,1,1,3,2,1
C4415,33,09,0000,District - Namakkal   *  09,Rural,35-39,76961,36816,40145,75762,36249,39513,613,291,322,513,238,275,6,2,4,1,1,0,4,4,0,3,3,0
C4415,33,09,0000,District - Namakkal   *  09,Rural,40-44,61696,31809,29887,60720,31316,29404,508,255,253,404,206,198,7,6,1,4,4,0,3,1,2,3,0,3
C4415,33,09,0000,District - Namakkal   *  09,Rural,45-49,61906,30739,31167,61030,30287,30743,446,236,210,366,171,195,10,8,2,1,1,0,5,4,1,1,1,0
C4415,33,09,0000,District - Namakkal   *  09,Rural,50-54,50184,25248,24936,49482,24887,24595,361,189,172,297,149,148,0,0,0,1,1,0,2,0,2,4,2,2
C4415,33,09,0000,District - Namakkal   *  09,Rural,55-59,41738,20308,21430,41156,20016,21140,272,132,140,271,142,129,3,3,0,3,3,0,2,1,1,1,1,0
C4415,33,09,0000,District - Namakkal   *  09,Rural,60-64,39452,19725,19727,38964,19477,19487,233,123,110,203,98,105,3,2,1,4,4,0,1,0,1,2,1,1
C4415,33,09,0000,District - Namakkal   *  09,Rural,65-69,25303,12077,13226,24980,11914,13066,150,73,77,141,71,70,4,1,3,1,1,0,3,1,2,0,0,0
C4415,33,09,0000,District - Namakkal   *  09,Rural,70-74,20798,10473,10325,20561,10348,10213,105,51,54,105,58,47,1,0,1,2,1,1,1,1,0,1,1,0
C4415,33,09,0000,District - Namakkal   *  09,Rural,75-79,9705,5055,4650,9605,4997,4608,27,14,13,61,38,23,1,0,1,0,0,0,0,0,0,2,1,1
C4415,33,09,0000,District - Namakkal   *  09,Rural,80+,11341,5887,5454,11234,5835,5399,41,17,24,55,30,25,0,0,0,1,1,0,0,0,0,1,1,0
C4415,33,09,0000,District - Namakkal   *  09,Rural,Age not stated,10870,5678,5192,10653,5558,5095,74,40,34,56,30,26,4,2,2,3,1,2,1,1,0,0,0,0
C4415,33,09,0000,District - Namakkal   *  09,Urban,All ages,545232,277186,268046,520229,264714,255515,18810,9403,9407,5764,2829,2935,43,27,16,9,5,4,35,20,15,84,47,37
C4415,33,09,0000,District - Namakkal   *  09,Urban,0-4,38706,20208,18498,36614,19120,17494,1650,867,783,417,209,208,3,1,2,2,1,1,1,1,0,2,1,1
C4415,33,09,0000,District - Namakkal   *  09,Urban,5-9,45013,23374,21639,42710,22200,20510,1815,916,899,448,231,217,5,3,2,0,0,0,5,3,2,5,3,2
C4415,33,09,0000,District - Namakkal   *  09,Urban,10-14,46792,24617,22175,44489,23452,21037,1751,904,847,519,242,277,2,1,1,1,1,0,4,3,1,9,4,5
C4415,33,09,0000,District - Namakkal   *  09,Urban,15-19,50548,26620,23928,47798,25248,22550,2000,985,1015,712,365,347,5,2,3,2,2,0,3,0,3,7,4,3
C4415,33,09,0000,District - Namakkal   *  09,Urban,20-24,49147,24418,24729,46598,23255,23343,1885,875,1010,625,266,359,6,4,2,1,0,1,4,2,2,5,3,2
C4415,33,09,0000,District - Namakkal   *  09,Urban,25-29,49876,23729,26147,47477,22606,24871,1844,865,979,518,236,282,8,7,1,0,0,0,4,4,0,5,5,0
C4415,33,09,0000,District - Namakkal   *  09,Urban,30-34,43394,21836,21558,41385,20834,20551,1509,749,760,468,234,234,4,3,1,0,0,0,4,2,2,8,4,4
C4415,33,09,0000,District - Namakkal   *  09,Urban,35-39,46079,22565,23514,44003,21529,22474,1551,775,776,493,245,248,4,3,1,2,0,2,1,1,0,6,3,3
C4415,33,09,0000,District - Namakkal   *  09,Urban,40-44,37006,19691,17315,35501,18911,16590,1110,579,531,365,188,177,1,0,1,0,0,0,1,1,0,9,4,5
C4415,33,09,0000,District - Namakkal   *  09,Urban,45-49,34190,17675,16515,32798,16926,15872,1010,540,470,364,197,167,0,0,0,0,0,0,2,0,2,6,4,2
C4415,33,09,0000,District - Namakkal   *  09,Urban,50-54,26361,13877,12484,25379,13346,12033,718,383,335,246,139,107,1,1,0,0,0,0,0,0,0,5,4,1
C4415,33,09,0000,District - Namakkal   *  09,Urban,55-59,20867,10269,10598,20143,9906,10237,544,278,266,164,77,87,1,1,0,1,1,0,2,2,0,5,0,5
C4415,33,09,0000,District - Namakkal   *  09,Urban,60-64,18499,9361,9138,17857,9025,8832,476,243,233,149,86,63,1,1,0,0,0,0,1,0,1,5,2,3
C4415,33,09,0000,District - Namakkal   *  09,Urban,65-69,11769,5547,6222,11390,5378,6012,284,130,154,83,33,50,1,0,1,0,0,0,1,0,1,2,2,0
C4415,33,09,0000,District - Namakkal   *  09,Urban,70-74,8926,4368,4558,8627,4244,4383,233,99,134,60,20,40,0,0,0,0,0,0,0,0,0,2,2,0
C4415,33,09,0000,District - Namakkal   *  09,Urban,75-79,4368,2275,2093,4235,2194,2041,99,59,40,30,20,10,0,0,0,0,0,0,1,0,1,1,1,0
C4415,33,09,0000,District - Namakkal   *  09,Urban,80+,4784,2239,2545,4633,2175,2458,108,45,63,39,17,22,0,0,0,0,0,0,0,0,0,1,0,1
C4415,33,09,0000,District - Namakkal   *  09,Urban,Age not stated,8907,4517,4390,8592,4365,4227,223,111,112,64,24,40,1,0,1,0,0,0,1,1,0,1,1,0
C4415,33,10,0000,District - Erode  10,Total,All ages,2581500,1309278,1272222,2443644,1240150,1203494,77211,39044,38167,55414,27368,28046,329,197,132,78,45,33,1298,689,609,271,145,126
C4415,33,10,0000,District - Erode  10,Total,0-4,174934,89952,84982,164231,84560,79671,6462,3267,3195,3823,1906,1917,27,14,13,2,2,0,113,62,51,26,11,15
C4415,33,10,0000,District - Erode  10,Total,5-9,194935,100273,94662,183578,94424,89154,6899,3560,3339,4039,2074,1965,24,16,8,5,3,2,128,69,59,22,11,11
C4415,33,10,0000,District - Erode  10,Total,10-14,207181,107324,99857,194939,101054,93885,7252,3677,3575,4542,2362,2180,27,18,9,10,4,6,135,66,69,24,16,8
C4415,33,10,0000,District - Erode  10,Total,15-19,223276,116287,106989,209445,109462,99983,8353,4100,4253,4985,2492,2493,28,14,14,8,6,2,143,73,70,20,12,8
C4415,33,10,0000,District - Erode  10,Total,20-24,222396,110458,111938,208483,103705,104778,7972,3875,4097,5452,2625,2827,33,20,13,8,6,2,125,76,49,24,13,11
C4415,33,10,0000,District - Erode  10,Total,25-29,232232,110457,121775,218720,104017,114703,7804,3797,4007,5258,2416,2842,35,18,17,11,6,5,129,66,63,36,15,21
C4415,33,10,0000,District - Erode  10,Total,30-34,200930,100394,100536,189773,94868,94905,6103,3077,3026,4651,2227,2424,37,27,10,6,4,2,118,61,57,26,18,8
C4415,33,10,0000,District - Erode  10,Total,35-39,223658,108699,114959,212297,103016,109281,6339,3193,3146,4650,2302,2348,28,16,12,6,3,3,108,58,50,16,9,7
C4415,33,10,0000,District - Erode  10,Total,40-44,178960,94295,84665,170265,89714,80551,4735,2542,2193,3645,1884,1761,23,16,7,4,4,0,83,42,41,10,3,7
C4415,33,10,0000,District - Erode  10,Total,45-49,174276,89359,84917,166194,85063,81131,4316,2347,1969,3465,1780,1685,20,13,7,3,2,1,67,40,27,19,10,9
C4415,33,10,0000,District - Erode  10,Total,50-54,138159,72282,65877,132081,69145,62936,3071,1641,1430,2804,1383,1421,14,11,3,4,3,1,27,17,10,12,5,7
C4415,33,10,0000,District - Erode  10,Total,55-59,115266,58015,57251,110356,55612,54744,2454,1259,1195,2272,1067,1205,8,3,5,3,1,2,40,13,27,11,4,7
C4415,33,10,0000,District - Erode  10,Total,60-64,102072,52654,49418,97964,50604,47360,1924,956,968,2008,997,1011,8,2,6,5,1,4,27,16,11,15,12,3
C4415,33,10,0000,District - Erode  10,Total,65-69,69596,34588,35008,66841,33239,33602,1299,647,652,1340,633,707,5,5,0,1,0,1,20,13,7,5,4,1
C4415,33,10,0000,District - Erode  10,Total,70-74,54513,28207,26306,52492,27209,25283,896,456,440,1045,504,541,4,2,2,1,0,1,7,2,5,1,0,1
C4415,33,10,0000,District - Erode  10,Total,75-79,28612,15136,13476,27563,14595,12968,465,232,233,548,289,259,4,1,3,0,0,0,13,7,6,0,0,0
C4415,33,10,0000,District - Erode  10,Total,80+,32296,16429,15867,31077,15864,15213,502,233,269,669,308,361,3,1,2,0,0,0,9,4,5,3,1,2
C4415,33,10,0000,District - Erode  10,Total,Age not stated,8208,4469,3739,7345,3999,3346,365,185,180,218,119,99,1,0,1,1,0,1,6,4,2,1,1,0
C4415,33,10,0000,District - Erode  10,Rural,All ages,1387537,705436,682101,1352824,688120,664704,10704,5372,5332,21737,10751,10986,127,83,44,27,16,11,44,18,26,85,49,36
C4415,33,10,0000,District - Erode  10,Rural,0-4,93966,48594,45372,91371,47279,44092,941,471,470,1485,754,731,10,5,5,0,0,0,3,1,2,6,3,3
C4415,33,10,0000,District - Erode  10,Rural,5-9,103662,53415,50247,100929,52041,48888,948,473,475,1606,809,797,7,5,2,1,1,0,2,1,1,5,4,1
C4415,33,10,0000,District - Erode  10,Rural,10-14,108685,56490,52195,105663,54948,50715,1098,545,553,1740,908,832,4,1,3,4,2,2,4,2,2,6,5,1
C4415,33,10,0000,District - Erode  10,Rural,15-19,116997,62045,54952,113689,60346,53343,1134,582,552,1978,1019,959,11,6,5,3,3,0,3,1,2,9,6,3
C4415,33,10,0000,District - Erode  10,Rural,20-24,114611,58123,56488,111324,56478,54846,1008,500,508,2067,1022,1045,12,6,6,6,4,2,3,0,3,11,7,4
C4415,33,10,0000,District - Erode  10,Rural,25-29,120404,57701,62703,117163,56157,61006,986,481,505,2065,956,1109,13,9,4,2,0,2,6,5,1,9,5,4
C4415,33,10,0000,District - Erode  10,Rural,30-34,103622,51743,51879,100897,50420,50477,833,401,432,1732,829,903,20,17,3,2,2,0,2,0,2,5,5,0
C4415,33,10,0000,District - Erode  10,Rural,35-39,118404,56886,61518,115585,55499,60086,869,432,437,1778,877,901,13,8,5,1,0,1,5,2,3,3,1,2
C4415,33,10,0000,District - Erode  10,Rural,40-44,94915,49528,45387,92706,48398,44308,652,335,317,1417,730,687,6,6,0,2,2,0,2,1,1,5,0,5
C4415,33,10,0000,District - Erode  10,Rural,45-49,94773,47749,47024,92675,46662,46013,608,329,279,1351,679,672,9,7,2,1,1,0,1,1,0,7,4,3
C4415,33,10,0000,District - Erode  10,Rural,50-54,76612,39501,37111,74975,38656,36319,455,255,200,1080,536,544,6,5,1,1,1,0,2,1,1,4,1,3
C4415,33,10,0000,District - Erode  10,Rural,55-59,65477,32730,32747,64098,32099,31999,353,169,184,924,419,505,6,2,4,1,0,1,8,1,7,7,2,5
C4415,33,10,0000,District - Erode  10,Rural,60-64,59766,31023,28743,58560,30424,28136,303,151,152,810,395,415,2,1,1,2,0,2,1,0,1,4,3,1
C4415,33,10,0000,District - Erode  10,Rural,65-69,41380,20620,20760,40522,20216,20306,197,91,106,598,279,319,2,2,0,0,0,0,0,0,0,2,2,0
C4415,33,10,0000,District - Erode  10,Rural,70-74,33392,17525,15867,32753,17213,15540,122,61,61,470,227,243,2,1,1,1,0,1,0,0,0,0,0,0
C4415,33,10,0000,District - Erode  10,Rural,75-79,17444,9404,8040,17117,9230,7887,74,40,34,236,124,112,2,1,1,0,0,0,2,2,0,0,0,0
C4415,33,10,0000,District - Erode  10,Rural,80+,19706,10336,9370,19263,10129,9134,87,40,47,330,153,177,1,1,0,0,0,0,0,0,0,2,1,1
C4415,33,10,0000,District - Erode  10,Rural,Age not stated,3721,2023,1698,3534,1925,1609,36,16,20,70,35,35,1,0,1,0,0,0,0,0,0,0,0,0
C4415,33,10,0000,District - Erode  10,Urban,All ages,1193963,603842,590121,1090820,552030,538790,66507,33672,32835,33677,16617,17060,202,114,88,51,29,22,1254,671,583,186,96,90
C4415,33,10,0000,District - Erode  10,Urban,0-4,80968,41358,39610,72860,37281,35579,5521,2796,2725,2338,1152,1186,17,9,8,2,2,0,110,61,49,20,8,12
C4415,33,10,0000,District - Erode  10,Urban,5-9,91273,46858,44415,82649,42383,40266,5951,3087,2864,2433,1265,1168,17,11,6,4,2,2,126,68,58,17,7,10
C4415,33,10,0000,District - Erode  10,Urban,10-14,98496,50834,47662,89276,46106,43170,6154,3132,3022,2802,1454,1348,23,17,6,6,2,4,131,64,67,18,11,7
C4415,33,10,0000,District - Erode  10,Urban,15-19,106279,54242,52037,95756,49116,46640,7219,3518,3701,3007,1473,1534,17,8,9,5,3,2,140,72,68,11,6,5
C4415,33,10,0000,District - Erode  10,Urban,20-24,107785,52335,55450,97159,47227,49932,6964,3375,3589,3385,1603,1782,21,14,7,2,2,0,122,76,46,13,6,7
C4415,33,10,0000,District - Erode  10,Urban,25-29,111828,52756,59072,101557,47860,53697,6818,3316,3502,3193,1460,1733,22,9,13,9,6,3,123,61,62,27,10,17
C4415,33,10,0000,District - Erode  10,Urban,30-34,97308,48651,48657,88876,44448,44428,5270,2676,2594,2919,1398,1521,17,10,7,4,2,2,116,61,55,21,13,8
C4415,33,10,0000,District - Erode  10,Urban,35-39,105254,51813,53441,96712,47517,49195,5470,2761,2709,2872,1425,1447,15,8,7,5,3,2,103,56,47,13,8,5
